ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
88294;"Varbla postipunkt";1;EE;"Pärnu maakond";"Lääneranna vald";"Varbla küla";;;Vallamaja;;;23.753707;58.430281;"E 12:00-15:00 K,R 09:00-17:00 N 09:00-18:30 L 09:00-13:00 T,P SULETUD";;;;;;;;;;2020-12-28T09:43:03.310+02:00
78296;"Varbola postipunkt";1;EE;"Rapla maakond";"Märjamaa vald";"Varbola küla";;;;;;24.450007;59.045235;"E,T,K,N,R 10:00-16:00 L,P SULETUD";;;;;;;;;;2021-01-21T10:43:00.863+02:00
66194;"Varstu postipunkt";1;EE;"Võru maakond";"Rõuge vald";"Varstu alevik";;"Kultuuri tn";;1;;26.668325;57.646922;"E,T,R 08:30-12:30, 13:00-16:00 N 09:30-12:30, 13:00-17:00 K,L,P SULETUD";;;;;;;;;;2020-12-21T11:44:59.127+02:00
88834;"Varėnos IKI paštomatas";0;LT;"Alytaus apskr.";"Varėnos r. sav.";"Varėnos m.";;"Sporto g.";;1;;24.563966;54.215275;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į parduotuvę pusėje, </br> už kampo";2020-12-27T09:16:49.833+02:00
71310;"Vastemõisa postipunkt";1;EE;"Viljandi maakond";"Põhja-Sakala vald";"Vastemõisa küla";;"Vastemõisa tee";;2;;25.440900;58.442228;"E,T,K,N,R 09:00-18:00 L,P 09:00-16:00";;;;;;;;;;2021-01-20T13:35:26.040+02:00
96322;"Vastse-Kuuste Coop kaupluse pakiautomaat";0;EE;"Põlva maakond";"Põlva vald";"Vastse-Kuuste alevik";;Kesktänav;;16;;26.932484;58.166376;;;;;;;;;;;2020-12-14T07:54:07.080+02:00
63600;"Vastse-Kuuste postkontor";1;EE;"Põlva maakond";"Põlva vald";"Vastse-Kuuste alevik";;;;;;26.941752;58.171663;"E,T,K,N,R 09:00-12:30 L,P SULETUD";;;;;;;;;;2020-12-05T12:19:51.723+02:00
65200;"Vastseliina postkontor";1;EE;"Võru maakond";"Võru vald";"Vastseliina alevik";;"Võidu tn";;21;;27.284067;57.731987;"E,T,K,R 09:00-12:00 N 14:00-18:00 L,P SULETUD;Ligipääs ratastooliga";"Kuni 19.02.2021: SULETUD";19.02.2021;;;;;;;;2021-01-21T13:06:10.150+02:00
9993;"Vecpiebalgas TOP pakomāts";0;LV;"Vecpiebalgas novads";"Vecpiebalgas pagasts";Vecpiebalga;;"Alauksta iela";;2;;25.816964;57.060458;;;;;;;;;"Pa labi no ieejas";;2020-11-13T10:37:12.993+02:00
9154;"Vecumnieku Lats pakomāts";0;LV;"Vecumnieku novads";"Vecumnieku pagasts";Vecumnieki;;"Rīgas iela";;24B;;24.520181;56.606484;;;;;;;;;"Pa labi no T/C Centrālās ieejas";;2020-11-12T14:24:15.647+02:00
55598;"Ventos NORFA paštomatas";0;LT;"Šiaulių apskr.";"Akmenės r. sav.";"Ventos m.";;"Plento g.";;2A;;22.679323;56.193186;;;;;;;;;;"Paštomatą rasite lauke prie sienos, kairėje įėjimo į parduotuvę pusėje";2020-12-27T20:06:09.677+02:00
9210;"Ventspils Celtnieku ielas ELVI pakomāts";0;LV;Ventspils;;;;"Celtnieku iela";;3;;21.596744;57.408242;;;;;;;;;"Pa kreisi no ieejas";;2021-01-14T07:50:33.930+02:00
9923;"Ventspils Ganību ielas Mego pakomāts";0;LV;Ventspils;;;;"Ganību iela";;22/24;;21.562643;57.389889;;;;;;;;;"Blakus T/C centrālajai ieejai";;2021-01-14T07:51:08.637+02:00
9102;"Ventspils Poruka ielas RIMI pakomāts";0;LV;Ventspils;;;;"J. Poruka iela";;5;;21.549223;57.386794;;;;;;;;;"Blakus T/C centrālajai ieejai";;2021-01-14T07:51:52.030+02:00
9963;"Ventspils T/C Tobago pakomāts";0;LV;Ventspils;;;;"Lielais prospekts";;3/5;;21.580209;57.387718;;;;;;;;;"Pa kreisi no T/C otrās ieejas";;2020-11-19T11:18:34.053+02:00
9957;"Ventspils Tārgales ielas Mini RIMI pakomāts";0;LV;Ventspils;;;;"Tārgales iela";;62;;21.602782;57.400019;;;;;;;;;"Pa labi no T/C ieejas";;2021-01-14T07:52:16.560+02:00
64234;"Veriora postiautomaat";0;EE;"Põlva maakond";"Räpina vald";"Veriora alevik";;"Räpina mnt";;2;;27.347572;58.004384;;;;;;;;;;;2021-01-22T02:00:06.527+02:00
64294;"Veriora postipunkt";1;EE;"Põlva maakond";"Räpina vald";"Veriora alevik";;"Räpina mnt";;2;;27.347183;58.005125;"T,N 09:00-13:30, 14:00-18:00 K 09:00-13:30, 14:00-19:00 L 09:00-14:00 E,R,P SULETUD";;;;;;;;;;2021-01-26T11:45:49.277+02:00
9167;"Viesītes TOP pakomāts";0;LV;"Viesītes novads";Viesīte;;;"Raiņa iela";;23;;25.556421;56.345913;;;;;;;;;"Blakus veikala ieejai";;2020-11-13T05:39:38.160+02:00
55502;"Vievio MAXIMA paštomatas";0;LT;"Vilniaus apskr.";"Elektrėnų sav.";"Vievio m.";;"Kauno g.";;22;;24.817913;54.772036;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje, šalia taromato";2020-12-29T08:34:46.960+02:00
87640;"Vihtra postipunkt";1;EE;"Pärnu maakond";"Põhja-Pärnumaa vald";"Vihtra küla";;"Jõesuu tee";;2;;25.019895;58.585790;"T,K,N,R 10:30-12:00, 12:30-18:00 E,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2021-01-20T13:36:10.217+02:00
96013;"Viimsi Kaubanduskeskuse pakiautomaat";0;EE;"Harju maakond";"Viimsi vald";"Haabneeme alevik";;"Randvere tee";;6;;24.831677;59.506459;;;;;;;;;;;2020-12-23T07:19:21.480+02:00
